company_id,date,open_price,high_price,low_price,close_price,volume
1,2024-01-01,1265.38,1285.52,1252.73,1272.79,400271
1,2024-01-02,1225.75,1241.24,1213.49,1228.95,99737
1,2024-01-03,1228.45,1240.73,1208.38,1220.59,857830
1,2024-01-04,1240.0,1259.65,1227.6,1247.18,674485
1,2024-01-05,1259.42,1279.29,1246.83,1266.62,693922
1,2024-01-08,1267.91,1280.59,1252.53,1265.18,330536
1,2024-01-09,1278.39,1291.17,1259.6,1272.32,349845
1,2024-01-10,1258.74,1271.33,1242.55,1255.1,425374
1,2024-01-11,1247.8,1260.28,1225.76,1238.14,323039
1,2024-01-12,1246.69,1262.5,1234.22,1250.0,105187
1,2024-01-15,1244.96,1263.28,1232.51,1250.77,843706
1,2024-01-16,1220.01,1244.29,1207.81,1231.97,410139
1,2024-01-17,1227.57,1240.03,1215.29,1227.75,434075
1,2024-01-18,1210.19,1222.29,1197.35,1209.44,615375
1,2024-01-19,1220.3,1232.5,1197.0,1209.09,543080
1,2024-01-22,1208.6,1220.69,1192.28,1204.32,346270
1,2024-01-23,1217.76,1229.94,1205.07,1217.24,977213
1,2024-01-24,1221.14,1242.65,1208.93,1230.35,66100
1,2024-01-25,1233.33,1255.2,1221.0,1242.77,302303
1,2024-01-26,1241.7,1266.34,1229.28,1253.8,328643
1,2024-01-29,1251.91,1268.28,1239.39,1255.72,403152
1,2024-01-30,1272.09,1297.75,1259.37,1284.9,334810
1,2024-01-31,1297.02,1309.99,1275.2,1288.08,72415
1,2024-02-01,1299.34,1312.33,1276.17,1289.06,794038
1,2024-02-02,1282.12,1297.59,1269.3,1284.74,337769
1,2024-02-05,1302.04,1326.58,1289.02,1313.45,266823
1,2024-02-06,1317.91,1331.09,1298.31,1311.42,500119
1,2024-02-07,1267.79,1291.89,1255.11,1279.1,959900
1,2024-02-08,1291.34,1304.25,1266.7,1279.5,121824
1,2024-02-09,1280.48,1296.77,1267.68,1283.93,264112
1,2024-02-12,1279.83,1292.63,1263.93,1276.7,792255
1,2024-02-13,1272.61,1285.34,1257.91,1270.62,189614
1,2024-02-14,1277.26,1292.92,1264.49,1280.12,690423
1,2024-02-15,1295.76,1315.03,1282.8,1302.01,377932
1,2024-02-16,1296.66,1310.41,1283.69,1297.44,895634
1,2024-02-19,1311.95,1325.07,1293.45,1306.52,109093
1,2024-02-20,1280.71,1303.05,1267.9,1290.15,960037
1,2024-02-21,1331.38,1344.69,1317.28,1330.59,279798
1,2024-02-22,1359.36,1384.69,1345.77,1370.98,310968
1,2024-02-23,1379.54,1393.34,1357.41,1371.12,486681
1,2024-02-26,1313.54,1338.89,1300.4,1325.63,207462
1,2024-02-27,1354.64,1369.68,1341.09,1356.12,248726
1,2024-02-28,1359.8,1373.4,1333.92,1347.39,237079
1,2024-02-29,1371.56,1385.28,1345.7,1359.29,995078
