company_id,year,compounding_sales_growth_pct,compounding_profit_growth_pct,stock_price_cagr_pct,roe_pct
1,FY11,12.5,15.0,18.0,16.5
1,FY12,12.5,15.0,18.0,16.5
1,FY13,12.5,15.0,18.0,16.5
1,FY14,12.5,15.0,18.0,16.5
1,FY15,12.5,15.0,18.0,16.5
1,FY16,12.5,15.0,18.0,16.5
1,FY17,12.5,15.0,18.0,16.5
1,FY18,12.5,15.0,18.0,16.5
1,FY19,12.5,15.0,18.0,16.5
1,FY20,12.5,15.0,18.0,16.5
1,FY21,12.5,15.0,18.0,16.5
1,FY22,12.5,15.0,18.0,16.5
1,FY23,12.5,15.0,18.0,16.5
1,FY24,12.5,15.0,18.0,16.5
2,FY11,12.5,15.0,18.0,16.5
2,FY12,12.5,15.0,18.0,16.5
2,FY13,12.5,15.0,18.0,16.5
2,FY14,12.5,15.0,18.0,16.5
2,FY15,12.5,15.0,18.0,16.5
2,FY16,12.5,15.0,18.0,16.5
2,FY17,12.5,15.0,18.0,16.5
2,FY18,12.5,15.0,18.0,16.5
2,FY19,12.5,15.0,18.0,16.5
2,FY20,12.5,15.0,18.0,16.5
2,FY21,12.5,15.0,18.0,16.5
2,FY22,12.5,15.0,18.0,16.5
2,FY23,12.5,15.0,18.0,16.5
2,FY24,12.5,15.0,18.0,16.5
3,FY11,12.5,15.0,18.0,16.5
3,FY12,12.5,15.0,18.0,16.5
3,FY13,12.5,15.0,18.0,16.5
3,FY14,12.5,15.0,18.0,16.5
3,FY15,12.5,15.0,18.0,16.5
3,FY16,12.5,15.0,18.0,16.5
3,FY17,12.5,15.0,18.0,16.5
3,FY18,12.5,15.0,18.0,16.5
3,FY19,12.5,15.0,18.0,16.5
3,FY20,12.5,15.0,18.0,16.5
3,FY21,12.5,15.0,18.0,16.5
3,FY22,12.5,15.0,18.0,16.5
3,FY23,12.5,15.0,18.0,16.5
3,FY24,12.5,15.0,18.0,16.5
4,FY11,12.5,15.0,18.0,16.5
4,FY12,12.5,15.0,18.0,16.5
4,FY13,12.5,15.0,18.0,16.5
4,FY14,12.5,15.0,18.0,16.5
4,FY15,12.5,15.0,18.0,16.5
4,FY16,12.5,15.0,18.0,16.5
4,FY17,12.5,15.0,18.0,16.5
4,FY18,12.5,15.0,18.0,16.5
4,FY19,12.5,15.0,18.0,16.5
4,FY20,12.5,15.0,18.0,16.5
4,FY21,12.5,15.0,18.0,16.5
4,FY22,12.5,15.0,18.0,16.5
4,FY23,12.5,15.0,18.0,16.5
4,FY24,12.5,15.0,18.0,16.5
5,FY11,12.5,15.0,18.0,16.5
5,FY12,12.5,15.0,18.0,16.5
5,FY13,12.5,15.0,18.0,16.5
5,FY14,12.5,15.0,18.0,16.5
5,FY15,12.5,15.0,18.0,16.5
5,FY16,12.5,15.0,18.0,16.5
5,FY17,12.5,15.0,18.0,16.5
5,FY18,12.5,15.0,18.0,16.5
5,FY19,12.5,15.0,18.0,16.5
5,FY20,12.5,15.0,18.0,16.5
5,FY21,12.5,15.0,18.0,16.5
5,FY22,12.5,15.0,18.0,16.5
5,FY23,12.5,15.0,18.0,16.5
5,FY24,12.5,15.0,18.0,16.5
6,FY11,12.5,15.0,18.0,16.5
6,FY12,12.5,15.0,18.0,16.5
6,FY13,12.5,15.0,18.0,16.5
6,FY14,12.5,15.0,18.0,16.5
6,FY15,12.5,15.0,18.0,16.5
6,FY16,12.5,15.0,18.0,16.5
6,FY17,12.5,15.0,18.0,16.5
6,FY18,12.5,15.0,18.0,16.5
6,FY19,12.5,15.0,18.0,16.5
6,FY20,12.5,15.0,18.0,16.5
6,FY21,12.5,15.0,18.0,16.5
6,FY22,12.5,15.0,18.0,16.5
6,FY23,12.5,15.0,18.0,16.5
6,FY24,12.5,15.0,18.0,16.5
7,FY11,12.5,15.0,18.0,16.5
7,FY12,12.5,15.0,18.0,16.5
7,FY13,12.5,15.0,18.0,16.5
7,FY14,12.5,15.0,18.0,16.5
7,FY15,12.5,15.0,18.0,16.5
7,FY16,12.5,15.0,18.0,16.5
7,FY17,12.5,15.0,18.0,16.5
7,FY18,12.5,15.0,18.0,16.5
7,FY19,12.5,15.0,18.0,16.5
7,FY20,12.5,15.0,18.0,16.5
7,FY21,12.5,15.0,18.0,16.5
7,FY22,12.5,15.0,18.0,16.5
7,FY23,12.5,15.0,18.0,16.5
7,FY24,12.5,15.0,18.0,16.5
8,FY11,12.5,15.0,18.0,16.5
8,FY12,12.5,15.0,18.0,16.5
8,FY13,12.5,15.0,18.0,16.5
8,FY14,12.5,15.0,18.0,16.5
8,FY15,12.5,15.0,18.0,16.5
8,FY16,12.5,15.0,18.0,16.5
8,FY17,12.5,15.0,18.0,16.5
8,FY18,12.5,15.0,18.0,16.5
8,FY19,12.5,15.0,18.0,16.5
8,FY20,12.5,15.0,18.0,16.5
8,FY21,12.5,15.0,18.0,16.5
8,FY22,12.5,15.0,18.0,16.5
8,FY23,12.5,15.0,18.0,16.5
8,FY24,12.5,15.0,18.0,16.5
9,FY11,12.5,15.0,18.0,16.5
9,FY12,12.5,15.0,18.0,16.5
9,FY13,12.5,15.0,18.0,16.5
9,FY14,12.5,15.0,18.0,16.5
9,FY15,12.5,15.0,18.0,16.5
9,FY16,12.5,15.0,18.0,16.5
9,FY17,12.5,15.0,18.0,16.5
9,FY18,12.5,15.0,18.0,16.5
9,FY19,12.5,15.0,18.0,16.5
9,FY20,12.5,15.0,18.0,16.5
9,FY21,12.5,15.0,18.0,16.5
9,FY22,12.5,15.0,18.0,16.5
9,FY23,12.5,15.0,18.0,16.5
9,FY24,12.5,15.0,18.0,16.5
10,FY11,12.5,15.0,18.0,16.5
10,FY12,12.5,15.0,18.0,16.5
10,FY13,12.5,15.0,18.0,16.5
10,FY14,12.5,15.0,18.0,16.5
10,FY15,12.5,15.0,18.0,16.5
10,FY16,12.5,15.0,18.0,16.5
10,FY17,12.5,15.0,18.0,16.5
10,FY18,12.5,15.0,18.0,16.5
10,FY19,12.5,15.0,18.0,16.5
10,FY20,12.5,15.0,18.0,16.5
10,FY21,12.5,15.0,18.0,16.5
10,FY22,12.5,15.0,18.0,16.5
10,FY23,12.5,15.0,18.0,16.5
10,FY24,12.5,15.0,18.0,16.5
11,FY11,12.5,15.0,18.0,16.5
11,FY12,12.5,15.0,18.0,16.5
11,FY13,12.5,15.0,18.0,16.5
11,FY14,12.5,15.0,18.0,16.5
11,FY15,12.5,15.0,18.0,16.5
11,FY16,12.5,15.0,18.0,16.5
11,FY17,12.5,15.0,18.0,16.5
11,FY18,12.5,15.0,18.0,16.5
11,FY19,12.5,15.0,18.0,16.5
