company_id,ticker,year,cfo_sign,cfi_sign,cff_sign,pattern_label
1,RELIANCE,2012,+,-,-,Reinvestor
1,RELIANCE,2013,+,-,-,Reinvestor
1,RELIANCE,2014,+,-,-,Reinvestor
1,RELIANCE,2015,+,-,-,Shareholder Returns
1,RELIANCE,2016,+,-,-,Shareholder Returns
1,RELIANCE,2017,+,-,-,Reinvestor
1,RELIANCE,2018,+,-,-,Reinvestor
1,RELIANCE,2019,+,-,-,Reinvestor
1,RELIANCE,2020,+,-,-,Shareholder Returns
1,RELIANCE,2021,+,-,-,Reinvestor
1,RELIANCE,2022,+,-,-,Reinvestor
1,RELIANCE,2023,+,-,-,Reinvestor
1,RELIANCE,2024,+,-,-,Reinvestor
2,TCS,2012,+,-,-,Shareholder Returns
2,TCS,2013,+,-,-,Shareholder Returns
2,TCS,2014,+,-,-,Shareholder Returns
2,TCS,2015,+,-,-,Shareholder Returns
2,TCS,2016,+,-,-,Shareholder Returns
2,TCS,2017,+,-,-,Shareholder Returns
2,TCS,2018,+,-,-,Reinvestor
2,TCS,2019,+,-,-,Shareholder Returns
2,TCS,2020,+,-,-,Reinvestor
2,TCS,2021,+,-,-,Shareholder Returns
2,TCS,2022,+,-,-,Reinvestor
2,TCS,2023,+,-,-,Reinvestor
2,TCS,2024,+,-,-,Reinvestor
3,HDFCBANK,2012,+,-,-,Shareholder Returns
3,HDFCBANK,2013,+,-,-,Reinvestor
3,HDFCBANK,2014,+,-,-,Reinvestor
3,HDFCBANK,2015,+,-,-,Reinvestor
3,HDFCBANK,2016,+,-,-,Reinvestor
3,HDFCBANK,2017,+,-,-,Reinvestor
3,HDFCBANK,2018,+,-,-,Reinvestor
3,HDFCBANK,2019,+,-,-,Reinvestor
3,HDFCBANK,2020,+,-,-,Reinvestor
3,HDFCBANK,2021,+,-,-,Reinvestor
3,HDFCBANK,2022,+,-,-,Reinvestor
3,HDFCBANK,2023,+,-,-,Reinvestor
3,HDFCBANK,2024,+,-,-,Reinvestor
4,ICICIBANK,2012,+,-,-,Reinvestor
4,ICICIBANK,2013,+,-,-,Reinvestor
4,ICICIBANK,2014,+,-,-,Reinvestor
4,ICICIBANK,2015,+,-,-,Reinvestor
4,ICICIBANK,2016,+,-,-,Reinvestor
4,ICICIBANK,2017,+,-,-,Reinvestor
4,ICICIBANK,2018,+,-,-,Reinvestor
4,ICICIBANK,2019,+,-,-,Reinvestor
4,ICICIBANK,2020,+,-,-,Reinvestor
4,ICICIBANK,2021,+,-,-,Reinvestor
4,ICICIBANK,2022,+,-,-,Reinvestor
4,ICICIBANK,2023,+,-,-,Reinvestor
4,ICICIBANK,2024,+,-,-,Reinvestor
5,INFY,2012,+,-,-,Shareholder Returns
5,INFY,2013,+,-,-,Reinvestor
5,INFY,2014,+,-,-,Reinvestor
5,INFY,2015,+,-,-,Reinvestor
5,INFY,2016,+,-,-,Shareholder Returns
5,INFY,2017,+,-,-,Reinvestor
5,INFY,2018,+,-,-,Reinvestor
5,INFY,2019,+,-,-,Reinvestor
5,INFY,2020,+,-,-,Reinvestor
5,INFY,2021,+,-,-,Reinvestor
5,INFY,2022,+,-,-,Reinvestor
5,INFY,2023,+,-,-,Reinvestor
5,INFY,2024,+,-,-,Reinvestor
6,BHARTIARTL,2012,+,-,-,Reinvestor
6,BHARTIARTL,2013,+,-,-,Reinvestor
6,BHARTIARTL,2014,+,-,-,Reinvestor
6,BHARTIARTL,2015,+,-,-,Reinvestor
6,BHARTIARTL,2016,+,-,-,Reinvestor
6,BHARTIARTL,2017,+,-,-,Reinvestor
6,BHARTIARTL,2018,+,-,-,Reinvestor
6,BHARTIARTL,2019,+,-,-,Reinvestor
6,BHARTIARTL,2020,+,-,-,Reinvestor
6,BHARTIARTL,2021,+,-,-,Reinvestor
6,BHARTIARTL,2022,+,-,-,Reinvestor
6,BHARTIARTL,2023,+,-,-,Reinvestor
6,BHARTIARTL,2024,+,-,-,Reinvestor
7,ITC,2012,+,-,-,Reinvestor
7,ITC,2013,+,-,-,Shareholder Returns
7,ITC,2014,+,-,-,Shareholder Returns
7,ITC,2015,+,-,-,Reinvestor
7,ITC,2016,+,-,-,Shareholder Returns
7,ITC,2017,+,-,-,Reinvestor
7,ITC,2018,+,-,-,Shareholder Returns
7,ITC,2019,+,-,-,Shareholder Returns
7,ITC,2020,+,-,-,Shareholder Returns
7,ITC,2021,+,-,-,Reinvestor
7,ITC,2022,+,-,-,Reinvestor
7,ITC,2023,+,-,-,Reinvestor
7,ITC,2024,+,-,-,Reinvestor
8,SBIN,2012,+,-,-,Shareholder Returns
8,SBIN,2013,+,-,-,Shareholder Returns
8,SBIN,2014,+,-,-,Shareholder Returns
8,SBIN,2015,+,-,-,Reinvestor
8,SBIN,2016,+,-,-,Reinvestor
8,SBIN,2017,+,-,-,Reinvestor
8,SBIN,2018,+,-,-,Reinvestor
8,SBIN,2019,+,-,-,Reinvestor
8,SBIN,2020,+,-,-,Reinvestor
8,SBIN,2021,+,-,-,Reinvestor
8,SBIN,2022,+,-,-,Reinvestor
8,SBIN,2023,+,-,-,Reinvestor
8,SBIN,2024,+,-,-,Reinvestor
9,LTIM,2012,+,-,-,Reinvestor
9,LTIM,2013,+,-,-,Reinvestor
9,LTIM,2014,+,-,-,Reinvestor
9,LTIM,2015,+,-,-,Reinvestor
9,LTIM,2016,+,-,-,Reinvestor
9,LTIM,2017,+,-,-,Reinvestor
9,LTIM,2018,+,-,-,Reinvestor
9,LTIM,2019,+,-,-,Reinvestor
9,LTIM,2020,+,-,-,Reinvestor
9,LTIM,2021,+,-,-,Reinvestor
9,LTIM,2022,+,-,-,Reinvestor
9,LTIM,2023,+,-,-,Reinvestor
9,LTIM,2024,+,-,-,Reinvestor
10,HINDUNILVR,2012,+,-,-,Shareholder Returns
10,HINDUNILVR,2013,+,-,-,Shareholder Returns
10,HINDUNILVR,2014,+,-,-,Reinvestor
10,HINDUNILVR,2015,+,-,-,Reinvestor
